id,sleep_target,sleep_value,steps,calories_target,calories_value,createdAt,updatedAt,intensity,min_heart_rate,max_heart_rate,user/id,user/email,user/full_name,user/disable_survey
9,480,403,8416.0,2048.0,1748.0,2023-05-08 15:56:00.674000+00:00,2023-05-09 23:56:00.846000+00:00,,,,,,,
10,480,403,8416.0,2048.0,1748.0,2023-05-08 15:56:01.691000+00:00,2023-05-09 23:56:03.334000+00:00,,,,,,,
11,480,403,8416.0,2048.0,1748.0,2023-05-08 15:56:02.348000+00:00,2023-05-09 23:56:04.213000+00:00,,,,,,,
12,480,403,8416.0,2048.0,1748.0,2023-05-08 15:56:02.992000+00:00,2023-05-09 23:56:05.011000+00:00,,,,,,,
13,480,403,8416.0,2048.0,1748.0,2023-05-08 17:56:01.406000+00:00,2023-05-09 23:56:02.232000+00:00,,,,,,,
14,480,383,9753.0,2048.0,1848.0,2023-05-10 00:00:00.669000+00:00,2023-05-11 23:56:00.782000+00:00,,,,,,,
15,480,383,9753.0,2048.0,1848.0,2023-05-10 00:00:01.263000+00:00,2023-05-11 23:56:01.582000+00:00,,,,,,,
16,480,383,9753.0,2048.0,1848.0,2023-05-10 00:00:02.160000+00:00,2023-05-11 23:56:02.593000+00:00,,,,,,,
17,480,383,9753.0,2048.0,1848.0,2023-05-10 00:00:02.800000+00:00,2023-05-11 23:56:03.375000+00:00,,,,,,,
18,480,383,9753.0,2048.0,1848.0,2023-05-10 00:00:03.442000+00:00,2023-05-11 23:56:04.105000+00:00,,,,,,,
19,480,462,273.0,2048.0,1199.0,2023-05-12 00:00:00.643000+00:00,2023-05-13 23:56:00.704000+00:00,,,,,,,
20,480,462,273.0,2048.0,1199.0,2023-05-12 00:00:01.230000+00:00,2023-05-13 23:56:01.362000+00:00,,,,,,,
21,480,462,273.0,2048.0,1199.0,2023-05-12 00:00:02.290000+00:00,2023-05-13 23:56:02.268000+00:00,,,,,,,
22,480,462,273.0,2048.0,1199.0,2023-05-12 00:00:02.876000+00:00,2023-05-13 23:56:02.966000+00:00,,,,,,,
23,480,462,273.0,2048.0,1199.0,2023-05-12 00:00:03.483000+00:00,2023-05-13 23:56:03.522000+00:00,,,,,,,
24,480,421,2504.0,2048.0,745.0,2023-05-14 00:00:00.584000+00:00,2023-05-15 10:28:00.716000+00:00,,,,,,,
