id,sleep_target,sleep_value,steps,calories_target,calories_value,createdAt,updatedAt,intensity,min_heart_rate,max_heart_rate,user/id,user/email,user/full_name,user/disable_survey
13,480,403,8416.0,2048.0,1748.0,2023-05-08 17:56:01.406000+00:00,2023-05-09 23:56:02.232000+00:00,,,,,,,
18,480,383,9753.0,2048.0,1848.0,2023-05-10 00:00:03.442000+00:00,2023-05-11 23:56:04.105000+00:00,,,,,,,
23,480,462,273.0,2048.0,1199.0,2023-05-12 00:00:03.483000+00:00,2023-05-13 23:56:03.522000+00:00,,,,,,,
28,480,421,2504.0,2048.0,745.0,2023-05-14 00:00:03.142000+00:00,2023-05-15 10:28:03.909000+00:00,,,,,,,
33,480,421,11681.0,2048.0,2025.0,2023-05-15 12:00:04.019000+00:00,2023-05-15 23:55:04.824000+00:00,,,,,,,
38,480,420,9485.0,2048.0,1895.0,2023-05-16 12:00:05.333000+00:00,2023-05-16 23:55:04.111000+00:00,,,,,,,
39,480,487,2125.0,2048.0,808.0,2023-05-17 12:00:00.819000+00:00,2023-05-17 12:00:00.819000+00:00,,,,,,,
43,480,487,7082.0,2048.0,1785.0,2023-05-17 12:00:04.252000+00:00,2023-05-17 23:55:03.739000+00:00,,,,,,,
47,480,377,8882.0,2048.0,1793.0,2023-05-18 12:00:03.497000+00:00,2023-05-18 23:55:03.447000+00:00,,,,,,,
51,480,415,8856.0,2048.0,1762.0,2023-05-19 12:00:03.667000+00:00,2023-05-19 23:55:03.251000+00:00,,,,,,,
55,480,511,8562.0,2048.0,1818.0,2023-05-20 12:00:03.464000+00:00,2023-05-20 23:55:03.819000+00:00,,,,,,,
59,480,,8171.0,2048.0,1873.0,2023-05-21 12:00:03.902000+00:00,2023-05-21 23:55:03+00:00,,,,,,,
63,480,425,13104.0,2048.0,1905.0,2023-05-22 12:00:03.504000+00:00,2023-05-22 23:55:03.716000+00:00,,,,,,,
67,480,450,8591.0,2048.0,1856.0,2023-05-23 12:00:03.609000+00:00,2023-05-23 23:55:03.586000+00:00,,,,,,,
71,480,487,9949.0,2048.0,1915.0,2023-05-24 12:00:04.195000+00:00,2023-05-24 23:55:04.065000+00:00,,,,,,,
75,480,381,6546.0,2048.0,1786.0,2023-05-25 12:00:03.321000+00:00,2023-05-25 23:55:03.265000+00:00,,,,,,,
79,480,419,6428.0,2048.0,1644.0,2023-05-26 12:00:03.984000+00:00,2023-05-26 23:55:03.244000+00:00,,,,,,,
83,480,,14805.0,2048.0,2373.0,2023-05-27 12:00:03.089000+00:00,2023-05-27 23:55:03.661000+00:00,,,,,,,
87,480,486,12618.0,2048.0,2111.0,2023-05-28 12:00:03.436000+00:00,2023-05-28 23:55:03.523000+00:00,,,,,,,
91,480,484,4733.0,2048.0,1587.0,2023-05-29 12:00:03.570000+00:00,2023-05-29 23:45:03.089000+00:00,,,,,,,
95,480,303,9372.0,2048.0,1851.0,2023-05-30 00:00:02.467000+00:00,2023-05-30 23:45:02.931000+00:00,12.0,,,,,,
99,480,464,10630.0,2048.0,1919.0,2023-05-31 00:00:02.591000+00:00,2023-05-31 23:45:03.182000+00:00,13.0,,,,,,
103,480,443,9129.0,2048.0,1736.0,2023-06-01 00:00:02.353000+00:00,2023-06-01 23:45:03.495000+00:00,44.0,,,,,,
107,480,420,11334.0,2048.0,2163.0,2023-06-02 00:00:02.440000+00:00,2023-06-02 23:45:03.089000+00:00,11.0,,,,,,
111,480,,7567.0,2048.0,1889.0,2023-06-03 00:00:02.214000+00:00,2023-06-03 23:45:03.053000+00:00,30.0,,,,,,
115,480,430,15584.0,2048.0,2335.0,2023-06-04 00:00:02.308000+00:00,2023-06-04 23:45:03.615000+00:00,40.0,,,,,,
119,480,463,7429.0,2048.0,1669.0,2023-06-05 00:00:02.395000+00:00,2023-06-05 23:45:03.350000+00:00,13.0,,,,,,
123,480,464,6933.0,2048.0,1732.0,2023-06-06 00:00:02.569000+00:00,2023-06-06 23:45:03.095000+00:00,29.0,,,,,,
127,480,444,8741.0,2048.0,2033.0,2023-06-07 00:00:02.572000+00:00,2023-06-07 23:45:02.939000+00:00,12.0,,,,,,
131,480,442,8411.0,2048.0,1894.0,2023-06-08 00:00:02.959000+00:00,2023-06-08 23:45:03.158000+00:00,11.0,,,,,,
135,480,393,8598.0,2048.0,1919.0,2023-06-09 00:00:02.481000+00:00,2023-06-09 23:45:02.942000+00:00,13.0,,,,,,
139,480,537,29384.0,2048.0,2766.0,2023-06-10 00:00:02.499000+00:00,2023-06-10 23:45:04.118000+00:00,188.0,,,,,,
143,480,460,15355.0,2048.0,2016.0,2023-06-11 00:00:02.285000+00:00,2023-06-11 23:45:02.891000+00:00,89.0,,,,,,
147,480,404,7619.0,2048.0,1674.0,2023-06-12 00:00:02.388000+00:00,2023-06-12 23:45:03.357000+00:00,28.0,,,,,,
163,480,,,2048.0,1209.0,2023-06-16 00:00:02.084000+00:00,2023-06-16 23:45:02.150000+00:00,,,,,,,
167,480,,,2048.0,1218.0,2023-06-17 00:00:02.027000+00:00,2023-06-17 23:45:02.188000+00:00,20.0,,,,,,
179,480,472,1376.0,2048.0,1298.0,2023-06-20 00:00:02.741000+00:00,2023-06-20 23:45:02.663000+00:00,,,,,,,
191,480,471,7257.0,2048.0,1716.0,2023-06-23 00:00:02.118000+00:00,2023-06-23 23:45:03.628000+00:00,24.0,,,,,,
199,480,559,7979.0,2048.0,2187.0,2023-06-25 00:15:02.145000+00:00,2023-06-25 23:45:03.315000+00:00,125.0,,,,,,
207,480,465,7443.0,2048.0,1676.0,2023-06-27 00:15:02.196000+00:00,2023-06-27 23:45:03.417000+00:00,22.0,,,,,,
215,480,434,5202.0,2048.0,1594.0,2023-06-29 00:15:02.236000+00:00,2023-06-29 23:45:02.645000+00:00,10.0,,,,,,
219,480,426,7697.0,2048.0,1863.0,2023-06-30 00:15:02.321000+00:00,2023-06-30 23:45:03.001000+00:00,,,,,,,
224,480,490,8834.0,2048.0,2018.0,2023-07-01 00:15:02.259000+00:00,2023-07-01 23:45:03.243000+00:00,31.0,,,,,,
228,480,472,10705.0,2048.0,1761.0,2023-07-02 00:15:02.430000+00:00,2023-07-02 23:45:03.019000+00:00,69.0,,,,,,
233,480,440,10406.0,2048.0,2079.0,2023-07-03 00:15:02.098000+00:00,2023-07-03 23:45:03.646000+00:00,96.0,,,,,,
237,480,418,4124.0,2048.0,1634.0,2023-07-04 00:00:02.218000+00:00,2023-07-04 23:45:02.917000+00:00,,,,,,,
245,480,404,8359.0,2048.0,1904.0,2023-07-06 00:15:02.157000+00:00,2023-07-06 23:45:03.601000+00:00,,,,,,,
249,480,,,2048.0,1170.0,2023-07-07 00:15:02.665000+00:00,2023-07-07 23:45:02.191000+00:00,,,,,,,
253,480,,,2048.0,1169.0,2023-07-08 00:15:02.260000+00:00,2023-07-08 23:45:02.150000+00:00,,,,,,,
257,480,464,6506.0,2048.0,1954.0,2023-07-09 00:15:02.185000+00:00,2023-07-09 23:45:03.742000+00:00,15.0,,,,,,
265,480,479,6226.0,2048.0,1738.0,2023-07-11 00:15:02.258000+00:00,2023-07-11 23:55:03.826000+00:00,18.0,,,,,,
266,480,,,,,2023-07-11 03:32:07.842000+00:00,2023-07-11 03:32:07.842000+00:00,,,,,,,
270,480,412,7023.0,2048.0,1804.0,2023-07-12 00:15:02.563000+00:00,2023-07-12 23:55:03.094000+00:00,11.0,,,,,,
274,480,454,9805.0,2048.0,1880.0,2023-07-13 00:15:02.655000+00:00,2023-07-13 23:55:03.523000+00:00,84.0,,,,,,
286,480,473,2786.0,2048.0,1531.0,2023-07-16 00:15:02.020000+00:00,2023-07-16 23:55:02.819000+00:00,34.0,,,,,,
290,480,,339.0,2048.0,1198.0,2023-07-17 00:15:02.137000+00:00,2023-07-17 23:55:02.554000+00:00,,,,,,,
294,480,,,2048.0,1172.0,2023-07-18 00:15:02.120000+00:00,2023-07-18 23:55:02.197000+00:00,,,,,,,
298,480,455,6287.0,2048.0,1640.0,2023-07-19 00:15:02.368000+00:00,2023-07-19 23:55:02.751000+00:00,34.0,,,,,,
302,480,,,2048.0,85.0,2023-07-20 00:15:02.475000+00:00,2023-07-20 00:45:02.408000+00:00,,,,,,,
306,480,504,5422.0,2048.0,1265.0,2023-09-18 14:30:03.398000+00:00,2023-09-18 16:15:03.703000+00:00,12.0,,,,,,
310,480,412,7365.0,2048.0,2045.0,2023-09-25 16:15:03.370000+00:00,2023-09-25 23:45:03.846000+00:00,10.0,,,,,,
314,480,,11.0,2048.0,86.0,2023-09-26 00:15:02.404000+00:00,2023-09-26 00:45:02.662000+00:00,,,,,,,
318,480,476,8557.0,2048.0,1985.0,2023-10-04 15:45:03.861000+00:00,2023-10-04 23:45:03.830000+00:00,30.0,,,,,,
322,480,349,8149.0,2048.0,2064.0,2023-10-05 00:15:03.418000+00:00,2023-10-05 23:45:03.766000+00:00,55.0,,,,,,
326,480,446,8889.0,2048.0,1978.0,2023-10-06 00:15:02.344000+00:00,2023-10-06 23:45:04.016000+00:00,15.0,,,,,,
330,480,173,568.0,2048.0,1208.0,2023-10-07 00:15:02.429000+00:00,2023-10-07 23:55:03.057000+00:00,,,,,,,
334,480,467,11593.0,2048.0,2029.0,2023-10-08 00:15:02.475000+00:00,2023-10-08 23:45:04.001000+00:00,44.0,,,,,,
338,480,451,10164.0,2048.0,2014.0,2023-10-09 00:15:02.416000+00:00,2023-10-09 23:55:04.439000+00:00,44.0,,,,,,
342,480,475,6294.0,2048.0,1576.0,2023-10-10 00:00:02.493000+00:00,2023-10-10 23:55:04.557000+00:00,39.0,,,,,,
346,480,406,8490.0,2048.0,1543.0,2023-10-11 00:00:02.842000+00:00,2023-10-11 15:45:03.890000+00:00,73.0,,,,,,
350,480,,3855.0,2184.0,1806.0,2023-10-11 18:15:03.526000+00:00,2023-10-12 00:07:46.657000+00:00,21.0,67.0,126.0,109.0,demo2@yopmail.com,Demo one,True
354,480,,164.0,2184.0,1431.0,2023-10-12 00:16:14.904000+00:00,2023-10-12 23:55:02.661000+00:00,,86.0,106.0,109.0,demo2@yopmail.com,Demo one,True
355,480,,35.0,2184.0,713.0,2023-10-12 07:15:03.036000+00:00,2023-10-12 07:15:03.036000+00:00,,,,111.0,test1@yopmail.com,Tester,False
359,480,,7.0,2184.0,1399.0,2023-10-13 00:00:02.520000+00:00,2023-10-13 23:55:02.775000+00:00,,,,109.0,demo2@yopmail.com,Demo one,True
363,480,,1895.0,2184.0,1557.0,2023-10-14 00:00:03.109000+00:00,2023-10-14 23:55:02.718000+00:00,10.0,77.0,117.0,109.0,demo2@yopmail.com,Demo one,True
367,480,,4842.0,2184.0,1983.0,2023-10-15 00:00:02.581000+00:00,2023-10-15 23:55:03.092000+00:00,,75.0,127.0,109.0,demo2@yopmail.com,Demo one,True
371,480,362,5680.0,2184.0,2122.0,2023-10-16 00:00:02.712000+00:00,2023-10-16 23:55:05.059000+00:00,32.0,60.0,141.0,109.0,demo2@yopmail.com,Demo one,True
375,480,433,6650.0,2184.0,2256.0,2023-10-17 00:00:02.600000+00:00,2023-10-17 23:55:04.445000+00:00,42.0,59.0,139.0,109.0,demo2@yopmail.com,Demo one,True
379,480,,10028.0,2184.0,2518.0,2023-10-18 00:00:02.762000+00:00,2023-10-18 23:55:04.710000+00:00,93.0,69.0,156.0,109.0,demo2@yopmail.com,Demo one,True
