ActivityHour,Id,Calories,TotalIntensity,AverageIntensity,StepTotal,hour,dayofyear,dayofweek,dayofmonth,isweekend
2016-03-12 00:00:00+00:00,2347167796,61,0,0.0,0,0,72,5,12,True
2016-03-12 01:00:00+00:00,2347167796,61,0,0.0,0,1,72,5,12,True
2016-03-12 02:00:00+00:00,2347167796,61,0,0.0,0,2,72,5,12,True
2016-03-12 03:00:00+00:00,2347167796,64,2,0.033333,25,3,72,5,12,True
2016-03-12 04:00:00+00:00,2347167796,61,0,0.0,0,4,72,5,12,True
2016-03-12 05:00:00+00:00,2347167796,61,0,0.0,0,5,72,5,12,True
2016-03-12 06:00:00+00:00,2347167796,66,3,0.05,34,6,72,5,12,True
2016-03-12 07:00:00+00:00,2347167796,240,75,1.25,2826,7,72,5,12,True
2016-03-12 08:00:00+00:00,2347167796,280,92,1.533333,3298,8,72,5,12,True
2016-03-12 09:00:00+00:00,2347167796,103,24,0.4,258,9,72,5,12,True
2016-03-12 10:00:00+00:00,2347167796,97,15,0.25,397,10,72,5,12,True
2016-03-12 11:00:00+00:00,2347167796,152,46,0.766667,984,11,72,5,12,True
2016-03-12 12:00:00+00:00,2347167796,131,32,0.533333,1044,12,72,5,12,True
2016-03-12 13:00:00+00:00,2347167796,75,6,0.1,136,13,72,5,12,True
2016-03-12 14:00:00+00:00,2347167796,64,1,0.016667,4,14,72,5,12,True
2016-03-12 15:00:00+00:00,2347167796,123,26,0.433333,795,15,72,5,12,True
2016-03-12 16:00:00+00:00,2347167796,151,30,0.5,1251,16,72,5,12,True
2016-03-12 17:00:00+00:00,2347167796,156,42,0.7,1457,17,72,5,12,True
2016-03-12 18:00:00+00:00,2347167796,111,20,0.333333,244,18,72,5,12,True
2016-03-12 19:00:00+00:00,2347167796,87,8,0.133333,91,19,72,5,12,True
2016-03-12 20:00:00+00:00,2347167796,77,8,0.133333,112,20,72,5,12,True
2016-03-12 21:00:00+00:00,2347167796,96,18,0.3,254,21,72,5,12,True
2016-03-12 22:00:00+00:00,2347167796,76,7,0.116667,146,22,72,5,12,True
2016-03-12 23:00:00+00:00,2347167796,61,0,0.0,0,23,72,5,12,True
2016-03-13 00:00:00+00:00,2347167796,57,0,0.0,0,0,73,6,13,True
2016-03-13 01:00:00+00:00,2347167796,59,1,0.016667,21,1,73,6,13,True
2016-03-13 02:00:00+00:00,2347167796,57,0,0.0,0,2,73,6,13,True
2016-03-13 03:00:00+00:00,2347167796,60,2,0.033333,17,3,73,6,13,True
2016-03-13 04:00:00+00:00,2347167796,57,0,0.0,0,4,73,6,13,True
2016-03-13 05:00:00+00:00,2347167796,57,0,0.0,0,5,73,6,13,True
2016-03-13 06:00:00+00:00,2347167796,57,0,0.0,0,6,73,6,13,True
2016-03-13 07:00:00+00:00,2347167796,57,0,0.0,0,7,73,6,13,True
2016-03-13 08:00:00+00:00,2347167796,139,37,0.616667,1556,8,73,6,13,True
2016-03-13 09:00:00+00:00,2347167796,212,69,1.15,2606,9,73,6,13,True
2016-03-13 10:00:00+00:00,2347167796,177,57,0.95,829,10,73,6,13,True
2016-03-13 11:00:00+00:00,2347167796,165,39,0.65,1044,11,73,6,13,True
2016-03-13 12:00:00+00:00,2347167796,67,4,0.066667,39,12,73,6,13,True
2016-03-13 13:00:00+00:00,2347167796,120,29,0.483333,797,13,73,6,13,True
2016-03-13 14:00:00+00:00,2347167796,120,24,0.4,1032,14,73,6,13,True
2016-03-13 15:00:00+00:00,2347167796,110,24,0.4,812,15,73,6,13,True
2016-03-13 16:00:00+00:00,2347167796,159,46,0.766667,1007,16,73,6,13,True
2016-03-13 17:00:00+00:00,2347167796,92,14,0.233333,406,17,73,6,13,True
2016-03-13 18:00:00+00:00,2347167796,108,23,0.383333,691,18,73,6,13,True
2016-03-13 19:00:00+00:00,2347167796,259,107,1.783333,4003,19,73,6,13,True
2016-03-13 20:00:00+00:00,2347167796,136,44,0.733333,817,20,73,6,13,True
2016-03-13 21:00:00+00:00,2347167796,83,15,0.25,259,21,73,6,13,True
2016-03-13 22:00:00+00:00,2347167796,60,2,0.033333,27,22,73,6,13,True
2016-03-13 23:00:00+00:00,2347167796,60,2,0.033333,21,23,73,6,13,True
2016-03-14 00:00:00+00:00,2347167796,57,0,0.0,0,0,74,0,14,False
2016-03-14 01:00:00+00:00,2347167796,58,1,0.016667,6,1,74,0,14,False
2016-03-14 02:00:00+00:00,2347167796,60,2,0.033333,31,2,74,0,14,False
2016-03-14 03:00:00+00:00,2347167796,57,0,0.0,0,3,74,0,14,False
2016-03-14 04:00:00+00:00,2347167796,57,0,0.0,0,4,74,0,14,False
2016-03-14 05:00:00+00:00,2347167796,57,0,0.0,0,5,74,0,14,False
2016-03-14 06:00:00+00:00,2347167796,80,13,0.216667,241,6,74,0,14,False
2016-03-14 07:00:00+00:00,2347167796,83,16,0.266667,204,7,74,0,14,False
2016-03-14 08:00:00+00:00,2347167796,181,53,0.883333,2308,8,74,0,14,False
2016-03-14 09:00:00+00:00,2347167796,81,15,0.25,147,9,74,0,14,False
2016-03-14 10:00:00+00:00,2347167796,77,12,0.2,115,10,74,0,14,False
2016-03-14 11:00:00+00:00,2347167796,82,16,0.266667,189,11,74,0,14,False
2016-03-14 12:00:00+00:00,2347167796,72,9,0.15,108,12,74,0,14,False
2016-03-14 13:00:00+00:00,2347167796,99,20,0.333333,618,13,74,0,14,False
